no,utterance,expected_type,expected_id,category,static_verdict,live_verdict,live_note,raw_response,call_error
1,"회사에서 부당하게 잘린 것 같은데, 제 편에서 이 상황을 어떻게 다퉈볼 수 있을지 직접 봐주실 분 있을까요",EXPERT,labor-attorney,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: labor-attorney] 일치,"[EXPERT: labor-attorney]

{USER_NAME}님, 공인노무사를 호출하겠습니다.",
2,아버지 명의로 돼 있는 집을 제 앞으로 넘기는 서류 작업을 대신 처리해주실 분이 필요해요,EXPERT,judicial-scrivener,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: judicial-scrivener] 일치,"[EXPERT: judicial-scrivener]

{USER_NAME}님, 법무사를 호출하겠습니다. 부동산 명의이전(증여·매매) 등기 서류는 법무사의 전속 업무 영역이라, 정확한 절차 안내와 서류 작성을 도와드릴 수 있습니다.",
3,작년 소득 신고를 잘못한 것 같아서 세금을 돌려받을 수 있는지 제 상황 보고 판단해주실 분 필요해요,EXPERT,tax-accountant,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: tax-accountant] 일치,"[EXPERT: tax-accountant]

{USER_NAME}님, 세무사(전문가)를 호출하겠습니다.",
4,저희 회사 재무제표에 이상한 부분이 있는지 외부에서 꼼꼼히 들여다봐 줄 전문가가 필요한데요,EXPERT,accountant,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: accountant] 일치,"[EXPERT: accountant]

{USER_NAME}님, 공인회계사를 호출하겠습니다.",
5,은퇴하고 나서도 생활이 안정되게 미리 자산을 어떻게 굴려야 할지 제 상황에 맞춰 짜주실 분 있나요,EXPERT,financial-planner,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: financial-planner] 일치,"[EXPERT: financial-planner]

{USER_NAME}님, 재무설계 전문가를 호출하겠습니다.",
6,요즘 계속 소화가 안 되고 속이 불편한데 제 증상을 보고 진료해주실 분과 얘기해보고 싶어요,EXPERT,physician,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: physician] 일치,"[EXPERT: physician]

{USER_NAME}님, 의사 선생님을 호출하겠습니다.",
7,요즘 이가 시려서 밥 먹기가 힘든데 왜 그런 건지 직접 봐주실 분한테 여쭤보고 싶어요,EXPERT,dentist,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: dentist] 일치,"[EXPERT: dentist]

{USER_NAME}님, 치과의사를 호출하겠습니다.",
8,지금 먹고 있는 약들을 같이 먹어도 괜찮은 건지 전문가한테 직접 확인받고 싶어요,EXPERT,pharmacist,정상경로(패러프레이즈 — trigger 문자열 미사용),WARN,LIVE-PASS,[EXPERT: pharmacist] 일치,"[EXPERT: pharmacist]

{USER_NAME}님, 약사 전문가를 호출하겠습니다.",
9,저희 강아지가 요 며칠 밥을 잘 안 먹는데 왜 그런지 직접 봐주실 분과 얘기하고 싶어요,EXPERT,veterinarian,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: veterinarian] 일치,"[EXPERT: veterinarian]

{USER_NAME}님, 수의사 전문가를 호출하겠습니다.",
10,퇴원하고 나서 집에서 상처 관리를 어떻게 해야 하는지 물어볼 수 있는 분 있을까요,EXPERT,nurse,정상경로(패러프레이즈 — trigger 문자열 미사용),WARN,LIVE-PASS,[EXPERT: nurse] 일치,"[EXPERT: nurse]

{USER_NAME}님, 간호사 전문가를 호출하겠습니다.",
11,당뇨 진단을 받았는데 앞으로 뭘 어떻게 먹어야 할지 제 상황 보고 짜주실 분이 필요해요,EXPERT,dietitian,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: dietitian] 일치,"[EXPERT: dietitian]

{USER_NAME}님, 영양사(전문가)를 호출하겠습니다.",
12,저희 애가 요즘 학교에서 자꾸 친구들이랑 다투는 것 같은데 반을 맡고 계신 선생님께 직접 여쭤보고 싶어요,EXPERT,teacher,정상경로(패러프레이즈 — trigger 문자열 미사용),WARN,LIVE-PASS,[EXPERT: teacher] 일치,"[EXPERT: teacher]

{USER_NAME}님, 담임 선생님을 호출하겠습니다.",
13,"요즘 마음이 계속 힘든데 검사를 받아보면 제 상태를 좀 더 정확히 알 수 있을까요, 그런 걸 봐주실 분과 얘기하고 싶어요",EXPERT,clinical-psychologist,정상경로(패러프레이즈 — trigger 문자열 미사용),WARN,LIVE-PASS,[EXPERT: clinical-psychologist] 일치,"[EXPERT: clinical-psychologist]

{USER_NAME}님, 임상심리사 선생님을 호출하겠습니다.",
14,생활이 너무 어려운데 나라에서 받을 수 있는 지원이 있는지 제 사정 보고 알려주실 분 있나요,EXPERT,social-worker,정상경로(패러프레이즈 — trigger 문자열 미사용),WARN,LIVE-FAIL,기대 [EXPERT: social-worker] vs 실제 [GWP: kgov],"[GWP: kgov]

{USER_NAME}님, 복지 지원 상담을 위해 K-Public을 호출하겠습니다.",
15,낡은 집을 허물고 새로 짓고 싶은데 어떻게 짓는 게 좋을지 도면부터 같이 봐주실 분이 필요해요,EXPERT,architect,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-FAIL,기대된 라우팅 태그가 없고 되묻지도 않음 (직접 답변으로 종료),"[CALL_KINTENT: query=낡은 집을 허물고 새로 짓고 싶은데 어떻게 짓는 게 좋을지 도면부터 같이 봐주실 분이 필요해요]

{USER_NAME}님, 건축 설계부터 허가 절차까지 함께 진행해 드릴 수 있도록 관련 기관과 전문가를 연결하겠습니다.",
16,지금 살고 있는 전셋집을 내놓고 새로 이사 갈 집을 알아봐 주실 분과 직접 얘기하고 싶어요,EXPERT,real-estate-agent,정상경로(패러프레이즈 — trigger 문자열 미사용),WARN,LIVE-FAIL,기대된 라우팅 태그가 없고 되묻지도 않음 (직접 답변으로 종료),"[CALL_KINTENT: query=지금 살고 있는 전셋집을 내놓고 새로 이사 갈 집을 알아봐 주실 분과 직접 얘기하고 싶어요]

{USER_NAME}님, 전세 매물 등록과 새 집 탐색을 함께 처리해 드릴 수 있는 전문가 연결을 시작하겠습니다.",
17,누가 제 개인정보를 무단으로 이용한 것 같은데 이게 실제로 문제가 되는 상황인지 봐주실 전문가가 필요해요,EXPERT,security-engineer,정상경로(패러프레이즈 — trigger 문자열 미사용),WARN,LIVE-FAIL,기대 [EXPERT: security-engineer] vs 실제 [GWP: ksecurity],"[GWP: ksecurity]

{USER_NAME}님, 개인정보 무단 이용 관련 전문가를 호출하겠습니다.",
18,외국에서 온 계약서인데 내용을 정확하게 우리말로 옮겨주실 분이 필요해요,EXPERT,translator-interpreter,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-FAIL,기대된 라우팅 태그가 없고 되묻지도 않음 (직접 답변으로 종료),"[CALL_KINTENT: query=외국에서 온 계약서인데 내용을 정확하게 우리말로 옮겨주실 분이 필요해요]

{USER_NAME}님, 계약서 번역 전문가를 찾아 연결해 드리겠습니다.",
19,머리 스타일을 확 바꿔보고 싶은데 저한테 어떤 게 어울릴지 직접 봐주실 분과 얘기하고 싶어요,EXPERT,hairdresser,정상경로(패러프레이즈 — trigger 문자열 미사용),PASS,LIVE-PASS,[EXPERT: hairdresser] 일치,"[EXPERT: hairdresser]

{USER_NAME}님, 미용 전문가를 호출하겠습니다.",
20,집들이 때 손님상에 낼 만한 요리를 제 상황(재료·인원)에 맞춰 같이 짜주실 분이 필요해요,EXPERT,chef,정상경로(패러프레이즈 — trigger 문자열 미사용),WARN,LIVE-FAIL,기대된 라우팅 태그가 없고 되묻지도 않음 (직접 답변으로 종료),[CALL_KINTENT: query=집들이 때 손님상에 낼 만한 요리를 제 상황(재료·인원)에 맞춰 같이 짜주실 분이 필요해요],
21,이번에 이혼 절차를 밟으려고 하는데 법적으로 어떻게 진행되는 건지 전반적인 흐름이 궁금해요,GWP,klaw,"부정테스트(GWP 우선 — 제도 정보 관점, 패러프레이즈)",PASS,LIVE-PASS,[GWP: klaw] 일치,"[GWP: klaw]

{USER_NAME}님, K-Law를 호출하겠습니다.",
22,누가 인터넷에 저에 대해 안 좋은 글을 올렸는데 이게 처벌받을 수 있는 일인지 알아보고 싶어요,GWP,klaw,"부정테스트(GWP 우선 — 제도 정보 관점, 패러프레이즈)",WARN,LIVE-PASS,[GWP: klaw] 일치,"[GWP: klaw]

{USER_NAME}님, K-Law를 호출하겠습니다.",
23,회사 상사가 갑자기 내일부터 나오지 말라고 했는데 이게 법적으로 정당한 건지 판단해줄 수 있어요,GWP,klaw,"부정테스트(GWP 우선 — 제도 정보 관점, 패러프레이즈)",WARN,LIVE-FAIL,기대 [GWP: klaw] vs 실제 [GWP: kbusiness],"[GWP: kbusiness]

{USER_NAME}님, K-Business를 호출하겠습니다.",
